"farm_id","farm_type","farm_size_ha","crop_type","crop_value_ha","pest_risk","prevention_cost_ha","loss_rate","compensation","monitoring","risk_aversion","expected_loss","report_prob","reports","final_loss"
1,"small",1.95490410737693,"apple",16196.1233895272,0.252405666466802,259.764998219907,0.529295703652315,100,0,0.155264135915786,4229.93803302345,0.1795335727253,0,5921.91324623283
2,"medium",8.67620811448433,"wheat",1508.39860662818,0.120602275035344,77.3622734239325,0.543692377302796,0,1,0.845851005520672,858.13344368449,0.44629913389732,1,514.880066210694
3,"small",4.84943574573845,"apple",15841.1338450387,0.195673889340833,588.972803670913,0.34454574927222,100,1,0.214380425633863,5179.1351786403,0.392275167265889,0,7250.78925009642
4,"medium",22.5998015329242,"potato",11319.3967253901,0.179718742519617,253.388766059652,0.45904590447899,600,0,0.669873244827613,21104.6131059718,0.566187034261615,0,29546.4583483606
5,"large",56.0896576102823,"wheat",2092.4374564318,0.104876820987556,109.386693267152,0.343352786288597,300,0,0.61775645124726,4226.25176585717,0.232570230201757,1,2535.7510595143
6,"small",3.40546290390193,"potato",11715.8674439415,0.29906836845912,339.833924174309,0.594354430469684,0,1,0.0499997769948095,7091.96508815601,0.467639313440778,0,9928.75112341841
7,"small",3.0601189089939,"tomato",22708.6194709409,0.28700376318302,668.994838511571,0.132375564798713,0,0,0.949398775584996,2640.12477569847,0.271639471991703,0,3696.17468597785
8,"medium",7.59516720543616,"wheat",1493.56395031791,0.0681908081402071,66.0184813430533,0.178831388964318,0,1,0.582552031613886,138.334577771526,0.67770431954637,1,83.0007466629154
9,"small",2.61029336880893,"wheat",1614.04296457767,0.0570490520796739,135.343023878522,0.492674309201539,600,0,0.860954337054864,118.416647112607,0.665447762638564,0,165.783305957649
10,"small",4.52098616492003,"tomato",19191.6947346181,0.338670457352418,505.752105440479,0.371094144904055,0,1,0.51846724934876,10904.5543511543,0.391663490200122,0,15266.376091616
11,"large",83.8435737858526,"wheat",1426.17896178272,0.0894194456283003,134.773915773258,0.308273672615178,600,0,0.266127483453602,3296.18984263491,0.750168547964281,0,4614.66577968887
12,"small",2.45636745914817,"tomato",21898.3625166584,0.234310904389713,302.99666224746,0.599441324500367,0,0,0.597377663478255,7555.16852186479,0.490732034643944,1,4533.10111311888
13,"medium",5.84319432498887,"wheat",2241.85845879838,0.195296175195836,97.7886812528595,0.227836558502167,0,1,0.795576084172353,582.875323087863,0.431576157351442,0,816.025452323008
14,"small",2.15295712277293,"potato",9303.70033113286,0.338519772375002,217.972551274579,0.353937835572287,100,0,0.689286037581041,2399.94962026793,0.398098917714925,0,3359.9294683751
15,"small",1.6825809404254,"wheat",1390.16667536926,0.1232743223547,127.369212242775,0.139485588786192,100,0,0.480631644604728,40.2202534023872,0.298212299104787,1,24.1321520414323
16,"medium",29.9851131986361,"wheat",2269.53260914888,0.121673304459546,79.5400080503896,0.506834182213061,100,1,0.465929388767108,4196.65550196031,0.537196494098241,1,2517.99330117619
17,"small",1.68868698552251,"apple",18991.8359965086,0.256393782934174,364.20575613156,0.291089580068365,600,0,0.618412335170433,2393.59273137809,0.576583184774884,1,1436.15563882685
18,"small",2.92817042209208,"wheat",1630.29717721511,0.162318932171911,56.5628111828119,0.501091353967786,300,1,0.449270514305681,388.283747318795,0.529473817705552,1,232.970248391277
19,"small",2.01185971405357,"potato",9134.01459669694,0.234156675124541,178.895614261273,0.198961818381213,100,1,0.602707532700151,856.122044242946,0.562597674740854,0,1198.57086194012
20,"large",67.637402813416,"wheat",1686.42020421103,0.150146034697536,94.053312484175,0.573199885105714,600,1,0.00460897409357131,9816.86189578468,0.844342377873175,1,5890.11713747081
21,"medium",5.87187010212801,"potato",7024.18953180313,0.209544615633786,157.33415374998,0.272836237121373,100,1,0.994994512526318,2358.0402729877,0.586086838143235,1,1414.82416379262
22,"medium",13.4597820939962,"potato",8875.62935985625,0.201885334029794,351.713824470062,0.361025123647414,100,1,0.406462448416278,8707.21730474698,0.457875265617022,1,5224.33038284819
23,"medium",27.8765940410085,"potato",7522.924778983,0.194576263381168,270.031609141733,0.155844003218226,0,1,0.117951637133956,6359.25711460965,0.504758623755919,1,3815.55426876579
24,"large",93.979681476485,"wheat",2018.66905093193,0.0574123395141214,96.2098857853562,0.542987425602041,100,0,0.86953909532167,5914.17417170496,0.441672437322933,0,8279.84384038695
25,"medium",20.4308817407582,"apple",17757.3575899005,0.10920530972071,360.725541692227,0.57712748660706,600,1,0.540192956570536,22865.5137698922,0.593385046134739,0,32011.7192778491
26,"medium",12.1571337175556,"potato",6238.68382209912,0.263130868691951,351.561985071748,0.120190381561406,300,0,0.88159766793251,2398.64337610141,0.469681441340294,0,3358.10072654197
27,"small",1.8650191584602,"wheat",1325.62386593781,0.154265786660835,84.0934370178729,0.34680809432175,600,0,0.0375398390460759,132.270335483604,0.644235935226681,1,79.3622012901625
28,"small",3.69750555232167,"wheat",1228.59182991087,0.104489235009532,68.5140318702906,0.213031852408312,0,1,0.88143396214582,101.118949961084,0.647407781192776,0,141.566529945517
29,"small",1.19065450970083,"wheat",2490.9582144348,0.182620041107293,100.699772685766,0.529400169639848,300,0,0.722349669784307,286.737646251967,0.499201630401725,0,401.432704752754
30,"small",3.80341234989464,"apple",16110.6800148264,0.263968933559954,459.422539453954,0.365467866905965,300,0,0.769810296595097,5911.38575270131,0.470880041201498,1,3546.83145162079
